K,H,Sex bias ,Age skew ,Fert.,Climate ,PRL,CRL,10%,50%,70%
51920,1600,0.5,4+ Bias,Red.,Dec.,1,0,0.29,0,0
59000,2000,0.5,Obs.,Obs.,Const.,0.01,0,0,0,0
59000,2000,0.5,Obs.,Obs.,Dec.,0.06,0,0,0,0
51920,2000,0.5,Obs.,Obs.,Const.,0.83,0,0,0,0
51920,2000,0.5,Obs.,Obs.,Dec.,0.97,0,0,0,0
59000,2000,0.5,4+ Bias,Obs.,Const.,0.03,0,0,0,0
59000,2000,0.5,4+ Bias,Obs.,Dec.,0.17,0,0,0,0
51920,2000,0.5,4+ Bias,Obs.,Const.,0.93,0,0.03,0,0
51920,2000,0.5,4+ Bias,Obs.,Dec.,1,0,0.01,0,0
59000,2000,0.5,Obs.,Red.,Const.,0.97,0,0.17,0,0
59000,2000,0.5,Obs.,Red.,Dec.,0.99,0,0.19,0,0
51920,2000,0.5,Obs.,Red.,Const.,1,0.06,0.69,0,0
51920,2000,0.5,Obs.,Red.,Dec.,1,0.46,0.54,0,0
59000,2000,0.5,4+ Bias,Red.,Const.,1,0.01,0.36,0,0
59000,2000,0.5,4+ Bias,Red.,Dec.,1,0.03,0.35,0,0
51920,2000,0.5,4+ Bias,Red.,Const.,1,0.27,0.86,0,0
51920,2000,0.5,4+ Bias,Red.,Dec.,1,0.8,0.92,0,0
59000,2400,0.5,Obs.,Obs.,Const.,0.27,0,0.01,0,0
59000,2400,0.5,Obs.,Obs.,Dec.,0.68,0,0,0,0
51920,2400,0.5,Obs.,Obs.,Const.,1,0,0.08,0,0
51920,2400,0.5,Obs.,Obs.,Dec.,1,0,0.05,0,0
59000,2400,0.5,4+ Bias,Obs.,Const.,0.62,0,0.02,0,0
59000,2400,0.5,4+ Bias,Obs.,Dec.,0.91,0,0.01,0,0
51920,2400,0.5,4+ Bias,Obs.,Const.,1,0,0.33,0,0
51920,2400,0.5,4+ Bias,Obs.,Dec.,1,0.03,0.44,0,0
59000,2400,0.5,Obs.,Red.,Const.,1,0.48,0.7,0,0
59000,2400,0.5,Obs.,Red.,Dec.,1,0.95,0.75,0,0
51920,2400,0.5,Obs.,Red.,Const.,1,1,1,0.01,0
51920,2400,0.5,Obs.,Red.,Dec.,1,1,0.99,0,0
59000,2400,0.5,4+ Bias,Red.,Const.,1,0.9,0.95,0,0
59000,2400,0.5,4+ Bias,Red.,Dec.,1,1,0.97,0.02,0
51920,2400,0.5,4+ Bias,Red.,Const.,1,1,1,0.09,0
51920,2400,0.5,4+ Bias,Red.,Dec.,1,1,1,0.1,0
59000,2800,0.5,Obs.,Obs.,Const.,0.92,0,0.06,0,0
59000,2800,0.5,Obs.,Obs.,Dec.,1,0,0.07,0,0
51920,2800,0.5,Obs.,Obs.,Const.,1,0.05,0.8,0,0
51920,2800,0.5,Obs.,Obs.,Dec.,1,0.52,0.85,0,0
59000,2800,0.5,4+ Bias,Obs.,Const.,0.99,0,0.25,0,0
59000,2800,0.5,4+ Bias,Obs.,Dec.,1,0.1,0.32,0,0
51920,2800,0.5,4+ Bias,Obs.,Const.,1,0.8,0.97,0,0
51920,2800,0.5,4+ Bias,Obs.,Dec.,1,0.99,1,0,0
59000,2800,0.5,Obs.,Red.,Const.,1,1,1,0.03,0
59000,2800,0.5,Obs.,Red.,Dec.,1,1,1,0.09,0
51920,2800,0.5,Obs.,Red.,Const.,1,1,1,0.37,0.02
51920,2800,0.5,Obs.,Red.,Dec.,1,1,1,0.6,0.01
59000,2800,0.5,4+ Bias,Red.,Const.,1,1,1,0.54,0.01
59000,2800,0.5,4+ Bias,Red.,Dec.,1,1,1,0.54,0.06
51920,2800,0.5,4+ Bias,Red.,Const.,1,1,1,0.89,0.19
51920,2800,0.5,4+ Bias,Red.,Dec.,1,1,1,0.97,0.43
59000,3200,0.5,Obs.,Obs.,Const.,1,0.18,0.49,0,0
59000,3200,0.5,Obs.,Obs.,Dec.,1,0.71,0.71,0,0
51920,3200,0.5,Obs.,Obs.,Const.,1,1,0.99,0.01,0
51920,3200,0.5,Obs.,Obs.,Dec.,1,1,1,0.02,0
59000,3200,0.5,4+ Bias,Obs.,Const.,1,0.88,0.92,0,0
59000,3200,0.5,4+ Bias,Obs.,Dec.,1,1,1,0.01,0
51920,3200,0.5,4+ Bias,Obs.,Const.,1,1,1,0.17,0
51920,3200,0.5,4+ Bias,Obs.,Dec.,1,1,1,0.26,0.02
59000,3200,0.5,Obs.,Red.,Const.,1,1,1,0.69,0.07
59000,3200,0.5,Obs.,Red.,Dec.,1,1,1,0.82,0.18
51920,3200,0.5,Obs.,Red.,Const.,1,1,1,0.95,0.53
51920,3200,0.5,Obs.,Red.,Dec.,1,1,1,0.98,0.73
59000,3200,0.5,4+ Bias,Red.,Const.,1,1,1,1,0.88
59000,3200,0.5,4+ Bias,Red.,Dec.,1,1,1,1,0.9
51920,3200,0.5,4+ Bias,Red.,Const.,1,1,1,1,0.97
51920,3200,0.5,4+ Bias,Red.,Dec.,1,1,1,1,1
59000,3600,0.5,Obs.,Obs.,Const.,1,1,0.99,0.02,0
59000,3600,0.5,Obs.,Obs.,Dec.,1,1,0.99,0.08,0
51920,3600,0.5,Obs.,Obs.,Const.,1,1,1,0.53,0.03
51920,3600,0.5,Obs.,Obs.,Dec.,1,1,1,0.63,0.09
59000,3600,0.5,4+ Bias,Obs.,Const.,1,1,1,0.51,0.04
59000,3600,0.5,4+ Bias,Obs.,Dec.,1,1,1,0.56,0.05
51920,3600,0.5,4+ Bias,Obs.,Const.,1,1,1,0.98,0.65
51920,3600,0.5,4+ Bias,Obs.,Dec.,1,1,1,0.98,0.74
59000,3600,0.5,Obs.,Red.,Const.,1,1,1,1,0.91
59000,3600,0.5,Obs.,Red.,Dec.,1,1,1,1,0.96
51920,3600,0.5,Obs.,Red.,Const.,1,1,1,1,1
51920,3600,0.5,Obs.,Red.,Dec.,1,1,1,1,1
59000,3600,0.5,4+ Bias,Red.,Const.,1,1,1,1,0.99
59000,3600,0.5,4+ Bias,Red.,Dec.,1,1,1,1,1
51920,3600,0.5,4+ Bias,Red.,Const.,1,1,1,1,1
51920,3600,0.5,4+ Bias,Red.,Dec.,1,1,1,1,1
59000,4000,0.5,Obs.,Obs.,Const.,1,1,1,0.65,0.16
59000,4000,0.5,Obs.,Obs.,Dec.,1,1,1,0.77,0.17
51920,4000,0.5,Obs.,Obs.,Const.,1,1,1,0.98,0.71
51920,4000,0.5,Obs.,Obs.,Dec.,1,1,1,0.99,0.88
59000,4000,0.5,4+ Bias,Obs.,Const.,1,1,1,0.99,0.79
59000,4000,0.5,4+ Bias,Obs.,Dec.,1,1,1,0.99,0.84
51920,4000,0.5,4+ Bias,Obs.,Const.,1,1,1,1,1
51920,4000,0.5,4+ Bias,Obs.,Dec.,1,1,1,1,1
59000,4000,0.5,Obs.,Red.,Const.,1,1,1,1,1
59000,4000,0.5,Obs.,Red.,Dec.,1,1,1,1,1
51920,4000,0.5,Obs.,Red.,Const.,1,1,1,1,1
51920,4000,0.5,Obs.,Red.,Dec.,1,1,1,1,1
59000,4000,0.5,4+ Bias,Red.,Const.,1,1,1,1,1
59000,4000,0.5,4+ Bias,Red.,Dec.,1,1,1,1,1
51920,4000,0.5,4+ Bias,Red.,Const.,1,1,1,1,1
51920,4000,0.5,4+ Bias,Red.,Dec.,1,1,1,1,1
