"","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"1",1,1,4,4,14,1,2,6,13,7,3,4,4,0,1,5,3,0,1,0,0,0,0
"2",4,5,1,2,15,1,2,7,5,2,4,0,1,0,0,1,3,1,1,0,0,0,0
"3",0,1,1,1,11,1,0,6,5,0,1,1,6,0,0,2,1,1,2,0,0,0,0
"4",11,30,51,53,42,4,3,30,17,16,17,5,47,10,1,11,15,6,5,0,4,0,0
