"V1","V2","V3","V4","V5"
99.4,100,97.9,100,96.3
99.9,100,99.3,100,98.6
96.8,99.8,92.2,99.9,88.3
100,100,100,100,99.9
81.7,97.9,67.3,99.6,59.7
