"V1","V2","V3","V4","V5"
76.1,96.7,56.7,99.2,49.1
86,98.9,72.3,99.9,64.9
49.1,86.6,32.6,95.7,27.2
99.1,100,96.8,100,94.2
15.8,54.6,8.2,80.8,6.6
