"","Scenario","Hunting_bias","Herring_quality","year","lb","md","ub","group"
"55","0","Historical","+0.2g/yr",2025,51055.75,57614.5,65776.05,"0 Historical +0.2g/yr"
"56","1311","Historical","+0.2g/yr",2025,51055.75,57614.5,65776.05,"1311 Historical +0.2g/yr"
"57","2400","Historical","+0.2g/yr",2025,51055.75,57614.5,65776.05,"2400 Historical +0.2g/yr"
"58","3050","Historical","+0.2g/yr",2025,51055.75,57614.5,65776.05,"3050 Historical +0.2g/yr"
"59","3600","Historical","+0.2g/yr",2025,51055.75,57614.5,65776.05,"3600 Historical +0.2g/yr"
"60","4800","Historical","+0.2g/yr",2025,51055.75,57614.5,65776.05,"4800 Historical +0.2g/yr"
"61","0","Pup","+0.2g/yr",2025,51055.75,57614.5,65776.05,"0 Pup +0.2g/yr"
"62","1311","Pup","+0.2g/yr",2025,51055.75,57614.5,65776.05,"1311 Pup +0.2g/yr"
"63","2400","Pup","+0.2g/yr",2025,51055.75,57614.5,65776.05,"2400 Pup +0.2g/yr"
"64","3050","Pup","+0.2g/yr",2025,51055.75,57614.5,65776.05,"3050 Pup +0.2g/yr"
"65","3600","Pup","+0.2g/yr",2025,51055.75,57614.5,65776.05,"3600 Pup +0.2g/yr"
"66","4800","Pup","+0.2g/yr",2025,51055.75,57614.5,65776.05,"4800 Pup +0.2g/yr"
"67","0","Adult","+0.2g/yr",2025,51055.75,57614.5,65776.05,"0 Adult +0.2g/yr"
"68","1311","Adult","+0.2g/yr",2025,51055.75,57614.5,65776.05,"1311 Adult +0.2g/yr"
"69","2400","Adult","+0.2g/yr",2025,51055.75,57614.5,65776.05,"2400 Adult +0.2g/yr"
"70","3050","Adult","+0.2g/yr",2025,51055.75,57614.5,65776.05,"3050 Adult +0.2g/yr"
"71","3600","Adult","+0.2g/yr",2025,51055.75,57614.5,65776.05,"3600 Adult +0.2g/yr"
"72","4800","Adult","+0.2g/yr",2025,51055.75,57614.5,65776.05,"4800 Adult +0.2g/yr"
"73","0","Male","+0.2g/yr",2025,51055.75,57614.5,65776.05,"0 Male +0.2g/yr"
"74","1311","Male","+0.2g/yr",2025,51055.75,57614.5,65776.05,"1311 Male +0.2g/yr"
"75","2400","Male","+0.2g/yr",2025,51055.75,57614.5,65776.05,"2400 Male +0.2g/yr"
"76","3050","Male","+0.2g/yr",2025,51055.75,57614.5,65776.05,"3050 Male +0.2g/yr"
"77","3600","Male","+0.2g/yr",2025,51055.75,57614.5,65776.05,"3600 Male +0.2g/yr"
"78","4800","Male","+0.2g/yr",2025,51055.75,57614.5,65776.05,"4800 Male +0.2g/yr"
"79","0","Female","+0.2g/yr",2025,51055.75,57614.5,65776.05,"0 Female +0.2g/yr"
"80","1311","Female","+0.2g/yr",2025,51055.75,57614.5,65776.05,"1311 Female +0.2g/yr"
"81","2400","Female","+0.2g/yr",2025,51055.75,57614.5,65776.05,"2400 Female +0.2g/yr"
"82","3050","Female","+0.2g/yr",2025,51055.75,57614.5,65776.05,"3050 Female +0.2g/yr"
"83","3600","Female","+0.2g/yr",2025,51055.75,57614.5,65776.05,"3600 Female +0.2g/yr"
"84","4800","Female","+0.2g/yr",2025,51055.75,57614.5,65776.05,"4800 Female +0.2g/yr"
"85","0","Historical","-0.2g/yr",2025,51055.75,57614.5,65776.05,"0 Historical -0.2g/yr"
"86","1311","Historical","-0.2g/yr",2025,51055.75,57614.5,65776.05,"1311 Historical -0.2g/yr"
"87","2400","Historical","-0.2g/yr",2025,51055.75,57614.5,65776.05,"2400 Historical -0.2g/yr"
"88","3050","Historical","-0.2g/yr",2025,51055.75,57614.5,65776.05,"3050 Historical -0.2g/yr"
"89","3600","Historical","-0.2g/yr",2025,51055.75,57614.5,65776.05,"3600 Historical -0.2g/yr"
"90","4800","Historical","-0.2g/yr",2025,51055.75,57614.5,65776.05,"4800 Historical -0.2g/yr"
"91","0","Pup","-0.2g/yr",2025,51055.75,57614.5,65776.05,"0 Pup -0.2g/yr"
"92","1311","Pup","-0.2g/yr",2025,51055.75,57614.5,65776.05,"1311 Pup -0.2g/yr"
"93","2400","Pup","-0.2g/yr",2025,51055.75,57614.5,65776.05,"2400 Pup -0.2g/yr"
"94","3050","Pup","-0.2g/yr",2025,51055.75,57614.5,65776.05,"3050 Pup -0.2g/yr"
"95","3600","Pup","-0.2g/yr",2025,51055.75,57614.5,65776.05,"3600 Pup -0.2g/yr"
"96","4800","Pup","-0.2g/yr",2025,51055.75,57614.5,65776.05,"4800 Pup -0.2g/yr"
"97","0","Adult","-0.2g/yr",2025,51055.75,57614.5,65776.05,"0 Adult -0.2g/yr"
"98","1311","Adult","-0.2g/yr",2025,51055.75,57614.5,65776.05,"1311 Adult -0.2g/yr"
"99","2400","Adult","-0.2g/yr",2025,51055.75,57614.5,65776.05,"2400 Adult -0.2g/yr"
